"Graph";"Vertices";"Edges";"Edge Density";"Iterations";"First Tie Breaker";"Second Tie Breaker";"MIM"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"10";"Min Degree";"Min Edges between Neighbours";"5"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"50";"First";"First";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"50";"First";"Max Neighbours Degree";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"50";"First";"Min Neighbours Degree";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"50";"First";"Max Edges between Neighbours";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"50";"First";"Min Edges between Neighbours";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"50";"Max Degree";"First";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"50";"Max Degree";"Max Neighbours Degree";"8"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"50";"Max Degree";"Min Neighbours Degree";"7"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"50";"Max Degree";"Max Edges between Neighbours";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"50";"Max Degree";"Min Edges between Neighbours";"7"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"50";"Min Degree";"First";"5"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"50";"Min Degree";"Max Neighbours Degree";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"50";"Min Degree";"Min Neighbours Degree";"4"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"50";"Min Degree";"Max Edges between Neighbours";"5"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"50";"Min Degree";"Min Edges between Neighbours";"4"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"100";"First";"First";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"100";"First";"Max Neighbours Degree";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"100";"First";"Min Neighbours Degree";"6"
"eil51.tsp.dgf";"51";"140";"0.10980392156862745";"100";"First";"Max Edges between Neighbours";"6"
